sectie	sch	obj	klasse	rol	rechten
BUCKET	storage	afschriften	bucket	-	public=false
BUCKET	storage	aqlab-audit	bucket	-	public=false
BUCKET	storage	documenten	bucket	-	public=false
BUCKET	storage	documenten-quarantaine	bucket	-	public=false
FUNC	public	afschriften_claim_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	anon	-
FUNC	public	afschriften_claim_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	authenticated	-
FUNC	public	afschriften_claim_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	service_role	EXECUTE
FUNC	public	aqlab_add_run_cost(p_run_id uuid, p_delta numeric)	function	anon	-
FUNC	public	aqlab_add_run_cost(p_run_id uuid, p_delta numeric)	function	authenticated	-
FUNC	public	aqlab_add_run_cost(p_run_id uuid, p_delta numeric)	function	service_role	EXECUTE
FUNC	public	aqlab_assurance_meetwaarden(p_codes text[])	function	anon	-
FUNC	public	aqlab_assurance_meetwaarden(p_codes text[])	function	authenticated	EXECUTE
FUNC	public	aqlab_assurance_meetwaarden(p_codes text[])	function	service_role	EXECUTE
FUNC	public	aqlab_audit_export_bron(p_export_id uuid)	function	anon	-
FUNC	public	aqlab_audit_export_bron(p_export_id uuid)	function	authenticated	EXECUTE
FUNC	public	aqlab_audit_export_bron(p_export_id uuid)	function	service_role	EXECUTE
FUNC	public	aqlab_claim_run_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	anon	-
FUNC	public	aqlab_claim_run_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	authenticated	-
FUNC	public	aqlab_claim_run_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer)	function	service_role	EXECUTE
FUNC	public	aqlab_log_download(p_export_id uuid, p_herkomst text)	function	anon	-
FUNC	public	aqlab_log_download(p_export_id uuid, p_herkomst text)	function	authenticated	EXECUTE
FUNC	public	aqlab_log_download(p_export_id uuid, p_herkomst text)	function	service_role	EXECUTE
FUNC	public	contact_aanvraag_insert(p_naam text, p_organisatie text, p_rol text, p_email text, p_telefoon text, p_type_verzoek text, p_bericht text, p_herkomst_pagina text, p_privacy_version text, p_ip_hash text)	function	anon	EXECUTE
FUNC	public	contact_aanvraag_insert(p_naam text, p_organisatie text, p_rol text, p_email text, p_telefoon text, p_type_verzoek text, p_bericht text, p_herkomst_pagina text, p_privacy_version text, p_ip_hash text)	function	authenticated	EXECUTE
FUNC	public	contact_aanvraag_insert(p_naam text, p_organisatie text, p_rol text, p_email text, p_telefoon text, p_type_verzoek text, p_bericht text, p_herkomst_pagina text, p_privacy_version text, p_ip_hash text)	function	service_role	EXECUTE
FUNC	public	contact_notificatie_status(p_id uuid, p_verzonden boolean, p_error text)	function	anon	EXECUTE
FUNC	public	contact_notificatie_status(p_id uuid, p_verzonden boolean, p_error text)	function	authenticated	EXECUTE
FUNC	public	contact_notificatie_status(p_id uuid, p_verzonden boolean, p_error text)	function	service_role	EXECUTE
FUNC	public	documenten_claim_ingest_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer, p_max_per_fonds integer)	function	anon	-
FUNC	public	documenten_claim_ingest_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer, p_max_per_fonds integer)	function	authenticated	-
FUNC	public	documenten_claim_ingest_jobs(p_worker_id text, p_limit integer, p_lease_seconds integer, p_max_per_fonds integer)	function	service_role	EXECUTE
FUNC	public	fn_afschrift_bevries_kolommen()	function	anon	-
FUNC	public	fn_afschrift_bevries_kolommen()	function	authenticated	EXECUTE
FUNC	public	fn_afschrift_bevries_kolommen()	function	service_role	EXECUTE
FUNC	public	fn_ai_actie_afronden(p_actie_id uuid, p_status text, p_resultaat_ref text)	function	anon	-
FUNC	public	fn_ai_actie_afronden(p_actie_id uuid, p_status text, p_resultaat_ref text)	function	authenticated	EXECUTE
FUNC	public	fn_ai_actie_afronden(p_actie_id uuid, p_status text, p_resultaat_ref text)	function	service_role	EXECUTE
FUNC	public	fn_ai_actie_bevries_kolommen()	function	anon	-
FUNC	public	fn_ai_actie_bevries_kolommen()	function	authenticated	-
FUNC	public	fn_ai_actie_bevries_kolommen()	function	service_role	-
FUNC	public	fn_ai_actietype_spec(p_actietype text)	function	anon	-
FUNC	public	fn_ai_actietype_spec(p_actietype text)	function	authenticated	EXECUTE
FUNC	public	fn_ai_actietype_spec(p_actietype text)	function	service_role	EXECUTE
FUNC	public	fn_ai_allowlist_wijzigen(p_provider text, p_model text, p_actief boolean, p_venster_start timestamp with time zone, p_venster_eind timestamp with time zone, p_reden text, p_actor uuid)	function	anon	-
FUNC	public	fn_ai_allowlist_wijzigen(p_provider text, p_model text, p_actief boolean, p_venster_start timestamp with time zone, p_venster_eind timestamp with time zone, p_reden text, p_actor uuid)	function	authenticated	-
FUNC	public	fn_ai_allowlist_wijzigen(p_provider text, p_model text, p_actief boolean, p_venster_start timestamp with time zone, p_venster_eind timestamp with time zone, p_reden text, p_actor uuid)	function	service_role	EXECUTE
FUNC	public	fn_ai_bump_config_versie()	function	anon	-
FUNC	public	fn_ai_bump_config_versie()	function	authenticated	-
FUNC	public	fn_ai_bump_config_versie()	function	service_role	EXECUTE
FUNC	public	fn_ai_heractivering_aanvragen(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_heractivering_aanvragen(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
FUNC	public	fn_ai_heractivering_aanvragen(p_sleutel text, p_actor uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
FUNC	public	fn_ai_heractivering_afwijzen(p_sleutel text, p_actor uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_ai_heractivering_goedkeuren(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_heractivering_goedkeuren(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
